Indicator_short,Year,Mozambique,Sub-Saharan Africa,Difference,pct_change_moz,pct_change_ssa,Complete_case,Trend
Poverty,2000,NA,62.5,NA,NA,NA,FALSE,Decreasing
Poverty,2001,NA,61.3,NA,NA,-1.9200000000000046,FALSE,Decreasing
Poverty,2002,87.6,60.9,26.699999999999996,NA,-0.6525285481239781,TRUE,Decreasing
Poverty,2003,NA,59.9,NA,NA,-1.6420361247947455,FALSE,Decreasing
Poverty,2004,NA,57,NA,NA,-4.841402337228713,FALSE,Decreasing
Poverty,2005,NA,55.5,NA,NA,-2.631578947368421,FALSE,Decreasing
Poverty,2006,NA,54,NA,NA,-2.7027027027027026,FALSE,Decreasing
Poverty,2007,NA,53,NA,NA,-1.8518518518518516,FALSE,Decreasing
Poverty,2008,81.1,51.6,29.499999999999993,NA,-2.6415094339622613,TRUE,Decreasing
Poverty,2017,NA,45,NA,NA,-12.790697674418608,FALSE,Decreasing
Poverty,2018,NA,44.6,NA,NA,-0.8888888888888857,FALSE,Decreasing
Poverty,2019,81.6,44.4,37.199999999999996,NA,-0.44843049327354895,TRUE,Decreasing
Poverty,2020,NA,46.4,NA,NA,4.504504504504505,FALSE,Decreasing
Poverty,2021,NA,46.6,NA,NA,0.4310344827586268,FALSE,Decreasing
Poverty,2022,81.4,46.4,35.00000000000001,NA,-0.42918454935622924,TRUE,Decreasing
Poverty,2023,NA,46.5,NA,NA,0.2155172413793134,FALSE,Decreasing
Poverty,2024,NA,46,NA,NA,-1.0752688172043012,FALSE,Decreasing
Poverty,2025,NA,NA,NA,NA,NA,FALSE,Decreasing
Under5_Mortality,2000,163,150.2,12.800000000000011,NA,NA,TRUE,Decreasing
Under5_Mortality,2001,154.2,145,9.199999999999989,-5.398773006134976,-3.462050599201058,TRUE,Decreasing
Under5_Mortality,2002,146,139.3,6.699999999999989,-5.317769130998696,-3.931034482758613,TRUE,Decreasing
Under5_Mortality,2003,138.5,133.9,4.599999999999994,-5.136986301369863,-3.876525484565689,TRUE,Decreasing
Under5_Mortality,2004,131.6,128.9,2.6999999999999886,-4.981949458483759,-3.7341299477221805,TRUE,Decreasing
Under5_Mortality,2005,125,123.6,1.4000000000000057,-5.015197568389054,-4.111714507370063,TRUE,Decreasing
